nome,genere,tipo,professione_originale,macro_categoria
Sario Bassanelli,M,storica,N.D.,Altro / istituzionale
Benedetto Croce,M,storica,"filosofo, politico",Politica e diritto
Titta Ruffo,M,storica,cantante lirico,"Musica, teatro e cinema"
Giuseppe Pacchioni,M,storica,"intagliatore, scultore",Arte visiva e architettura
Armando Gagliani,M,storica,N.D.,Altro / istituzionale
Fernando Felicori,M,storica,N.D.,Altro / istituzionale
Ambrogio e Pietro Lorenzetti,M,storica,N.D.,Altro / istituzionale
Leonardo da Vinci,M,storica,"pittore, ingegnere",Scienze e medicina
Pier Antonio Rappini,M,storica,ingegnere idraulico,Scienze e medicina
Pietro Canonici,M,storica,N.D.,Altro / istituzionale
Giovanni Elkan,M,storica,politico,Politica e diritto
Amilcare Roncarati,M,storica,N.D.,Altro / istituzionale
John Cage,M,storica,"compositore, scrittore","Musica, teatro e cinema"
Leone Pesci,M,storica,"chimico, accademico",Scienze e medicina
Gino Gamberini,M,storica,N.D.,Altro / istituzionale
Canaletto,M,storica,"pittore, acquafortista",Arte visiva e architettura
Giovanni Francesco Fiammelli,M,storica,matematico,Scienze e medicina
Raffaele Pettazzoni,M,storica,storico,"Filosofia, storia e accademia"
Antonio Francesco Ghiselli,M,storica,"professione religiosa, storico locale",Religione
Fulvio Milani,M,storica,politico,Politica e diritto
Felice Battaglia,M,storica,"filosofo, scrittore","Filosofia, storia e accademia"
Luigi Polacchi,M,storica,"poeta, scrittore",Letteratura e giornalismo
Gian Luigi Protche,M,storica,N.D.,Altro / istituzionale
Francesco Tamagno,M,storica,cantante lirico,"Musica, teatro e cinema"
Pietro Cantinelli,M,storica,N.D.,Altro / istituzionale
Francesco Paolo Michetti,M,storica,"pittore, fotografo",Arte visiva e architettura
Giuseppe Vaccaro,M,storica,architetto,Arte visiva e architettura
Enio Gnudi,M,storica,politico,Politica e diritto
Sigismondo Campagnoli,M,storica,N.D.,Altro / istituzionale
Sergio Tavernari,M,storica,partigiano,Resistenza e antifascismo
Alessandro Menganti,M,storica,"scultore, orafo",Arte visiva e architettura
Giovanni Livraghi,M,storica,N.D.,Altro / istituzionale
Amerigo Vespucci,M,storica,"esploratore, mercante","Patrioti, militari ed esploratori"
Alberto Calda,M,storica,"avvocato, professore universitario",Politica e diritto
Luciano Romagnoli,M,storica,"politico, partigiano",Resistenza e antifascismo
Francesco Bartoli,M,storica,ricercatore,Scienze e medicina
Gustavo Modena,M,storica,"attore teatrale, attore","Musica, teatro e cinema"
Arturo Solari,M,storica,"storico dell'antichità classica, storico","Filosofia, storia e accademia"
Corrado Masetti,M,storica,"militare, partigiano",Resistenza e antifascismo
Marco Biagi,M,storica,"politico, economista",Politica e diritto
Giuseppe Antonio Landi,M,storica,"architetto, pittore",Arte visiva e architettura
Filippo e Angelo Cuccoli,M,storica,N.D.,Altro / istituzionale
Nino Bixio Scota,M,storica,politico,Politica e diritto
Claudio Monteverdi,M,storica,"teorico della musica, gambista",Altro / istituzionale
Libero Battistelli,M,storica,N.D.,Altro / istituzionale
Giovanni Brugnoli,M,storica,"professore universitario, patologo",Scienze e medicina
Vincenzo Toffano,M,storica,partigiano,Resistenza e antifascismo
Angelo Brunetti,M,storica,politico,Politica e diritto
Bruno Arnaud,M,storica,N.D.,Altro / istituzionale
Giacomo Luigi Ciamician,M,storica,"chimico, politico",Politica e diritto
Vincenzo Casciarolo,M,storica,chimico,Scienze e medicina
Paride Pasquali,M,storica,N.D.,Altro / istituzionale
Pietro Bubani,M,storica,"botanico, medico",Scienze e medicina
Alceste Giovannini,M,storica,N.D.,Altro / istituzionale
Antonio Levanti,M,storica,N.D.,Altro / istituzionale
Augusto Pulega,M,storica,N.D.,Altro / istituzionale
Giacomo Brodolini,M,storica,politico,Politica e diritto
Giacomo Puccini,M,storica,"compositore d'opera, compositore","Musica, teatro e cinema"
Leonello Grossi,M,storica,politico,Politica e diritto
Francesco Rismondo,M,storica,N.D.,Altro / istituzionale
Giacomo Tommasini,M,storica,medico,Scienze e medicina
Natalino Corazza,M,storica,N.D.,Altro / istituzionale
Luigi Concato,M,storica,"medico, professore universitario",Scienze e medicina
Massimiliano Bruno,M,storica,"attore, sceneggiatore","Musica, teatro e cinema"
Pompeo Scipione Dolfi,M,storica,decano,Altro / istituzionale
Oreste Vancini,M,storica,"insegnante, sindacalista",Istruzione ed educazione
Dante Cane',M,storica,N.D.,Altro / istituzionale
Ugo Lenzi,M,storica,politico,Politica e diritto
Alberto Legnani,M,storica,architetto,Arte visiva e architettura
Domenico Bianchini,M,storica,"compositore, liutista","Musica, teatro e cinema"
Giuliano Benassi,M,storica,N.D.,Altro / istituzionale
Giuseppe Brini,M,storica,"giurista, teologo",Politica e diritto
Angelo Gatti,M,storica,"medico, professore universitario",Scienze e medicina
Giulio Gaist,M,storica,chirurgo,Scienze e medicina
Lippo di Dalmasio,M,storica,"pittore, artista visuale",Arte visiva e architettura
Aldo Ognibene,M,storica,N.D.,Altro / istituzionale
Vincenzo Martinelli,M,storica,pittore,Arte visiva e architettura
Errico Malatesta,M,storica,"attivista, scrittore",Sindacalismo e attivismo civile
Giovanni Capellini,M,storica,"paleontologo, botanico",Scienze e medicina
Ignazio Silone,M,storica,"politico, giornalista",Politica e diritto
Molière,M,storica,"drammaturgo, attore teatrale","Musica, teatro e cinema"
Lelio Dalla Volpe,M,storica,"editore, stampatore",Letteratura e giornalismo
Augusto Galli,M,storica,"attore, orafo",Arte visiva e architettura
Gioachino Rossini,M,storica,compositore,"Musica, teatro e cinema"
Antonino Scaravilli,M,storica,"studente universitario, partigiano",Resistenza e antifascismo
Ferdinando Magellano,M,storica,"esploratore, marittimo","Patrioti, militari ed esploratori"
Enrico Capelli,M,storica,attore,"Musica, teatro e cinema"
Gregoris Lambrakis,M,storica,"politico, ginecologo",Politica e diritto
Trilussa,M,storica,"poeta, scrittore",Letteratura e giornalismo
Giovanni Natali,M,storica,"filologo classico, storico della geografia","Filosofia, storia e accademia"
Federico Venturini,M,storica,N.D.,Altro / istituzionale
Maggiore Leopoldo Serra,M,storica,N.D.,Altro / istituzionale
Leopoldo Fregoli,M,storica,"attore, sceneggiatore","Musica, teatro e cinema"
Cesare Malossi,M,storica,N.D.,Altro / istituzionale
Demetrio Presini,M,storica,N.D.,Altro / istituzionale
Ettore Nadalini,M,storica,politico,Politica e diritto
Don Libero Nanni,M,storica,"sacerdote, cappellano del lavoro",Religione
Fernando Fortuzzi,M,storica,N.D.,Altro / istituzionale
Ercole Giacomini,M,storica,entomologo,Altro / istituzionale
Bartolo Nigrisoli,M,storica,chirurgo,Scienze e medicina
Élio Bernardi,M,storica,politico,Politica e diritto
Benedetto Cairoli,M,storica,"politico, diplomatico",Politica e diritto
George Gordon Byron,M,storica,"poeta, paroliere",Letteratura e giornalismo
Ettore Bidone,M,storica,N.D.,Altro / istituzionale
Fratelli Marincola,M,storica,N.D.,Altro / istituzionale
Luigi Bertelli,M,storica,"scrittore, giornalista",Letteratura e giornalismo
Goffredo Mameli,M,storica,"poeta, scrittore",Letteratura e giornalismo
Pinturicchio,M,storica,"pittore, miniatore",Arte visiva e architettura
Giovanni Bernardi,M,storica,"intagliatore, orafo",Arte visiva e architettura
Marino Dalmonte,M,storica,partigiano,Resistenza e antifascismo
Otello Bonvicini,M,storica,partigiano,Resistenza e antifascismo
papa Benedetto XIV,M,storica,"sacerdote cattolico, canonista",Religione
Jacopo Bartolomeo Beccari,M,storica,"chimico, medico",Scienze e medicina
Libero Lossanti,M,storica,partigiano,Resistenza e antifascismo
Ludwik Lejzer Zamenhof,M,storica,"linguista, oculista",Scienze e medicina
Ferruccio Magnani,M,storica,partigiano,Resistenza e antifascismo
Ludovico Beccadelli,M,storica,"diplomatico, scrittore",Politica e diritto
Arrigo Lucchini,M,storica,"attore, attore teatrale","Musica, teatro e cinema"
Luciano Anceschi,M,storica,"critico letterario, saggista","Filosofia, storia e accademia"
Giordano Bruno,M,storica,"astronomo, filosofo",Scienze e medicina
Enzo di Sardegna,M,storica,"scrittore, poeta",Letteratura e giornalismo
Augusto Majani,M,storica,"pittore, caricaturista",Arte visiva e architettura
Carlo Francioni,M,storica,professore universitario,"Filosofia, storia e accademia"
Josemaría Escrivá de Balaguer,M,storica,"sacerdote cattolico di rito latino, scrittore",Religione
Tommaso Martelli,M,storica,ricercatore,Scienze e medicina
Ivo Lollini,M,storica,militare,"Patrioti, militari ed esploratori"
Nullo Baldini,M,storica,"politico, sindacalista",Sindacalismo e attivismo civile
Roberto Raviola,M,storica,"fumettista, fotocronista",Arte visiva e architettura
Antonio Bertoloni,M,storica,"botanico, professore universitario",Scienze e medicina
Benvenuto Tisi da Garofalo,M,storica,N.D.,Altro / istituzionale
Rolandino de' Passaggeri,M,storica,giurista,Politica e diritto
Lodovico Frati,M,storica,"bibliotecario, musicologo",Letteratura e giornalismo
Gabriele D'Annunzio,M,storica,"drammaturgo, politico",Politica e diritto
Massimo Meliconi,M,storica,"antifascista, operaio",Resistenza e antifascismo
Giuseppe Galletti,M,storica,politico,Politica e diritto
Amedeo Parmeggiani,M,storica,aviatore,"Patrioti, militari ed esploratori"
Alfonso Samoggia,M,storica,soldato,"Patrioti, militari ed esploratori"
Benvenuto Tisi da Garofalo,M,storica,pittore,Arte visiva e architettura
Alberto Massone,M,storica,scrittore,Letteratura e giornalismo
Alessandro Corticelli,M,storica,"fisiologo, patologo",Scienze e medicina
Giacomo Antonio Perti,M,storica,"compositore d'opera, violinista","Musica, teatro e cinema"
Alfredo Calzolari,M,storica,partigiano,Resistenza e antifascismo
Cristoforo da Bologna,M,storica,pittore,Arte visiva e architettura
Rino Pancaldi,M,storica,N.D.,Altro / istituzionale
Ermanno Galeotti,M,storica,"antifascista, partigiano",Resistenza e antifascismo
Ettore Ascoli,M,storica,partigiano,Resistenza e antifascismo
Stefano Bottari,M,storica,"critico d'arte, architetto","Filosofia, storia e accademia"
Pio Carlo Falletti,M,storica,"storico, insegnante",Istruzione ed educazione
Mario Giurini,M,storica,"partigiano, ufficiale di marina",Resistenza e antifascismo
Caravaggio,M,storica,pittore,Arte visiva e architettura
papa Gregorio XIII,M,storica,"sacerdote cattolico, diacono di transizione",Religione
Giacomo Leopardi,M,storica,"scrittore, poeta",Letteratura e giornalismo
Maurizio Pincherle,M,storica,professore universitario,"Filosofia, storia e accademia"
Giuseppe Malagoli,M,storica,"saggista, poeta",Letteratura e giornalismo
Ruzante,M,storica,"drammaturgo, attore","Musica, teatro e cinema"
Dei Gracchi,M,storica,N.D.,Altro / istituzionale
Girolamo Mercuriale,M,storica,"linguista, professore universitario","Filosofia, storia e accademia"
Demétrio Martinelli Magnoli,M,storica,"giornalista, sociologo","Filosofia, storia e accademia"
Odofredo,M,storica,"giurista, consulente legale",Politica e diritto
Gino Tinozzi,M,storica,N.D.,Altro / istituzionale
Torquato Secci,M,storica,politico,Politica e diritto
Zaccaria Zacchi,M,storica,"scultore, pittore",Arte visiva e architettura
Pietro di Giovanni Lianori,M,storica,pittore,Arte visiva e architettura
Giovanni Battista Martini,M,storica,compositore,"Musica, teatro e cinema"
Alfio Pappalardo,M,storica,"preside, dirigente scolastico (Istituti Aldini Valeriani)",Istruzione ed educazione
Pietro Brune',M,storica,N.D.,Altro / istituzionale
Giorgio Maccaferri,M,storica,N.D.,Altro / istituzionale
Giovanni Battista De Rolandis,M,storica,N.D.,Altro / istituzionale
Paganino Bonafede,M,storica,N.D.,Altro / istituzionale
Don Antonio Gavinelli,M,storica,sacerdote salesiano,Religione
Wiligelmo,M,storica,scultore,Arte visiva e architettura
Vittorio Bottego,M,storica,esploratore,"Patrioti, militari ed esploratori"
Armando Tomesani,M,storica,N.D.,Altro / istituzionale
Umberto Brunelli,M,storica,"politico, medico",Politica e diritto
Alessandro Scorzoni,M,storica,pittore,Arte visiva e architettura
Franco Alfano,M,storica,"pianista, compositore","Musica, teatro e cinema"
Ada Negri,F,storica,"Poetessa, scrittrice",Letteratura e giornalismo
Adelaide Borghi Mamo,F,storica,Cantante lirica,"Musica, teatro e cinema"
Adelaide Ristori,F,storica,Attrice teatrale,"Musica, teatro e cinema"
Alfonsina Morini (Strada),F,storica,Ciclista pioniera,Sport
Anne Frank,F,storica,"Scrittrice, vittima Olocausto",Letteratura e giornalismo
Anna Magnani,F,storica,Attrice cinematografica,"Musica, teatro e cinema"
Argentina Altobelli,F,storica,Sindacalista,Sindacalismo e attivismo civile
Artemisia Gentileschi,F,storica,Pittrice,Arte visiva e architettura
Carlotta Marchionni,F,storica,Attrice teatrale,"Musica, teatro e cinema"
Chiara Lubich,F,storica,"Mistica, fondatrice Focolari",Religione
Clarice Vasini,F,storica,"Pittrice, scultrice",Arte visiva e architettura
Clotilde Tambroni,F,storica,"Filologa, linguista","Filosofia, storia e accademia"
Cristina Campo,F,storica,"Poetessa, scrittrice",Letteratura e giornalismo
Eleonora Duse,F,storica,Attrice teatrale,"Musica, teatro e cinema"
Elisabetta Sirani,F,storica,Pittrice,Arte visiva e architettura
Ermanna Orsoni,F,storica,"Atleta (corsa, giavellotto)",Sport
Fede Galizia,F,storica,Pittrice,Arte visiva e architettura
Fernanda Pivano,F,storica,"Traduttrice, giornalista",Letteratura e giornalismo
Francesca Alinovi,F,storica,Critica d'arte,"Filosofia, storia e accademia"
Georgia O'Keeffe,F,storica,Pittrice,Arte visiva e architettura
Gilda Chiari Allegretti,F,storica,Pedagogista,Istruzione ed educazione
Ginevra Cantofoli,F,storica,Pittrice,Arte visiva e architettura
Isabella Andreini,F,storica,"Attrice, poetessa","Musica, teatro e cinema"
Isabella Colbran,F,storica,Cantante (soprano),"Musica, teatro e cinema"
Jolanda Cervellati,F,storica,"Maestra, pioniera pedagogia",Istruzione ed educazione
Laura Bassi Veratti,F,storica,"Fisica, accademica",Scienze e medicina
Laura Betti,F,storica,"Attrice, cantante","Musica, teatro e cinema"
Lea Colliva,F,storica,"Pittrice, insegnante",Istruzione ed educazione
Lyda Borelli,F,storica,Attrice,"Musica, teatro e cinema"
Marcella Di Folco,F,storica,"Attivista, attrice",Sindacalismo e attivismo civile
Maria Adele Crocioni Michelini,F,storica,Attivista diritti donne,Sindacalismo e attivismo civile
Maria Callas,F,storica,Soprano,"Musica, teatro e cinema"
Maria Melato,F,storica,Attrice,"Musica, teatro e cinema"
Mariele Ventre,F,storica,Direttrice di coro (Zecchino),Istruzione ed educazione
Ondina Valla,F,storica,Atleta (Olimpionica),Sport
Paola Serra Zanetti,F,storica,Pittrice,Arte visiva e architettura
Patrizia Vicinelli,F,storica,"Poetessa, artista",Letteratura e giornalismo
Properzia de' Rossi,F,storica,Scultrice,Arte visiva e architettura
Tina Merlin,F,storica,"Giornalista, partigiana",Resistenza e antifascismo
Velleda Cesari,F,storica,Schermitrice,Sport
Maria Gaetana Agnesi,F,storica,"filosofo, matematico",Scienze e medicina
Iside (Nerina) De Piccoli,F,storica,filantropa,Sindacalismo e attivismo civile
Mafalda di Savoia,F,storica,aristocratico,Altro / istituzionale
Irma Bandiera,F,storica,"combattente della resistenza, partigiano",Resistenza e antifascismo
Bettisia Gozzadini,F,storica,"giurista, avvocato",Politica e diritto
Virginia Reiter,F,storica,attore,"Musica, teatro e cinema"
Sabina Santilli,F,storica,attivista,Sindacalismo e attivismo civile
Eleonora Sanguinetti,F,storica,benefattrice,Sindacalismo e attivismo civile
Tommasina Guidi,F,storica,N.D.,Altro / istituzionale
Claudia Testoni,F,storica,"velocista, atleta",Sport
Orsola Mezzini,F,storica,"suora, insegnante",Religione
Grazia Deledda,F,storica,"scrittore, poeta",Letteratura e giornalismo
Elena Lucrezia Corner,F,storica,"matematico, filosofo",Scienze e medicina
Anna Grassetti,F,storica,"infermiere, attivista politico",Sindacalismo e attivismo civile
Christine de Pizan,F,storica,"scrittore, poeta",Letteratura e giornalismo
Giovanna Zaccherini Alvisi,F,storica,"militante politica, perseguitata fascismo",Resistenza e antifascismo
Argia Magazzari,F,storica,attore,"Musica, teatro e cinema"
Giacinta Pezzana,F,storica,"attore, attore teatrale","Musica, teatro e cinema"
Carolina Coronedi Berti,F,storica,scrittore,Letteratura e giornalismo
Francesca Edera De Giovanni,F,storica,"mugnaio, partigiano",Resistenza e antifascismo
Clelia Barbieri,F,storica,"religioso cristiano, monaca",Religione
Greta Garbo,F,storica,"attore, attore cinematografico","Musica, teatro e cinema"
Lea Garofalo,F,storica,N.D.,Altro / istituzionale
Madre Teresa di Calcutta,F,storica,"suora, missionario",Religione
Gina Fasoli,F,storica,"medievista, professore universitario","Filosofia, storia e accademia"
Virginia Marini,F,storica,"attore, attore teatrale","Musica, teatro e cinema"
Amalia Bettini,F,storica,attore,"Musica, teatro e cinema"
Rina Monti (Cesarina Monti Stella),F,proposta,"Biologa, zoologa, limnologa; prima donna professoressa ordinaria in Italia",Scienze e medicina
Margherita Hack,F,proposta,"Astrofisica, accademica, divulgatrice scientifica, attivista",Scienze e medicina
Ada Buffulini,F,proposta,"Medico (radiologa), partigiana, organizzatrice della resistenza interna nel campo di Bolzano",Resistenza e antifascismo
Maria Dalle Donne,F,proposta,"Medica, ginecologa, accademica; Direttrice della Scuola di Ostetricia di Bologna",Istruzione ed educazione
Alessandro Zijno (detta 'l'Ambigua'),F,proposta,Attivista transfemminista e queer; fondatrice del Laboratorio Smaschieramenti – Atlantide di Bologna,Sindacalismo e attivismo civile
Dorotea Bocchi (detta Bucca),F,proposta,Professoressa di Medicina e Filosofia all'Università di Bologna,Scienze e medicina
Giuseppina Cattani,F,proposta,Batteriologa; prima donna con libera docenza in Patologia generale a Bologna,Scienze e medicina
Maria Bortolotti Casoni,F,proposta,Ingegnera; prima donna iscritta all'Albo degli Ingegneri in Italia,Scienze e medicina
Gabriella Degli Esposti,F,proposta,"Partigiana, coordinatrice della Quarta Zona della Resistenza (nome di battaglia 'Balella')",Resistenza e antifascismo
Ines Bedeschi,F,proposta,"Staffetta partigiana del CUMER (Comando Unificato Militare Emilia-Romagna), nome di battaglia 'Bruna'",Resistenza e antifascismo
Enrichetta Cabassa,F,proposta,"Staffetta partigiana del CUMER, sarta (nome di battaglia 'Silvia')",Resistenza e antifascismo
Anna Maria Enriques Agnoletti,F,proposta,"Staffetta partigiana, paleografa, storica medievale",Resistenza e antifascismo
Giovanna Zangrandi (Alma Bevilacqua),F,proposta,"Scrittrice, partigiana, insegnante di scienze, alpinista",Resistenza e antifascismo
Ena Frazzoni,F,proposta,"Professoressa di inglese, partigiana, segretaria del CUMER (nome di battaglia 'Nicoletta')",Resistenza e antifascismo
Ester Capponi,F,proposta,"Operaia, sindacalista CGIL, politica (PCI), dirigente UDI Bologna",Sindacalismo e attivismo civile
Lucrezia Orsina Vizzana,F,proposta,"Compositrice, organista, cantante (Barocco)","Musica, teatro e cinema"
Maria Brizzi Giorgi,F,proposta,"Pianista, compositrice, direttrice dell'Accademia Polimniaca di Bologna","Musica, teatro e cinema"
Caterina de' Vigri (Santa Caterina da Bologna),F,proposta,"Religiosa clarissa, pittrice miniaturista, musicista (viola), scrittrice spirituale, fondatrice del Corpus Domini",Religione
Cornelia Rossi Martinetti,F,proposta,"Intellettuale, animatrice di salotto letterario europeo, scrittrice",Letteratura e giornalismo
Teresa Carniani Malvezzi,F,proposta,"Scrittrice, poetessa, accademica","Filosofia, storia e accademia"
Odette Righi Boi,F,proposta,"Partigiana, maestra, pedagogista, scrittrice in dialetto bolognese",Resistenza e antifascismo
Flavia Madaschi,F,proposta,"Operaia (Majani, Ducati), sindacalista CGIL, presidente AGedO Bologna, attivista LGBTQ+",Istruzione ed educazione
Claudia Testoni,F,proposta,"Atleta (80m ostacoli, salto in lungo, velocità)",Sport
Nilde Iotti,F,proposta,"Politica (PCI), prima donna Presidente della Camera dei Deputati",Politica e diritto
Lidia Poët,F,proposta,"Avvocata, prima donna iscritta all'Albo degli Avvocati in Italia",Politica e diritto
Lina Merlin,F,proposta,"Politica, Madre Costituente, prima donna eletta al Senato della Repubblica",Politica e diritto
Camilla Ravera,F,proposta,"Politica, prima segretaria donna del PCI, prima senatrice a vita della Repubblica",Politica e diritto
Carla Capponi,F,proposta,"Partigiana combattente, parlamentare (PCI)",Resistenza e antifascismo
Maria Montessori,F,proposta,"Medica, pedagogista, fondatrice del Metodo Montessori",Istruzione ed educazione
Lucy Salani,F,proposta,"Attivista trans, sopravvissuta al lager di Dachau, testimone",Sindacalismo e attivismo civile
Luki Massa,F,proposta,"Attivista lesbica, fondatrice del Tiaso di Bologna",Sindacalismo e attivismo civile
Tina Anselmi,F,proposta,"Partigiana, politica DC, prima donna ministro della Repubblica italiana",Resistenza e antifascismo
Franca Viola,F,proposta,"Simbolo nazionale dei diritti delle donne (rifiutò il matrimonio riparatore, 1965)",Sindacalismo e attivismo civile
Germana Boldrini,F,proposta,"Partigiana combattente (Battaglia di Porta Lame, Bologna, 7 novembre 1944)",Resistenza e antifascismo
